feature,n,bullish_count,bullish_rate,baseline,lift,wilson_low,wilson_high,feature_family,machine
317.6796979672181 + 245.3345200089885 + 319.5605707909265,1,0,0.0,0.48333333333333334,-0.48333333333333334,0.0,0.7934567085261071,phase,049
317.6796979672181 + 245.3345200089885 + 319.5605707909265,0,0,,0.5166666666666667,,,,phase,056
317.6796979672181 + 245.3345200089885 + 319.5605707909265,0,0,,0.5666666666666667,,,,phase,075
317.6796979672181 + 245.3345200089885 + 319.5605707909265,0,0,,0.4,,,,phase,077
109.55469796721803 + 42.83452000898848 + 49.56057079092648,1,1,1.0,0.48333333333333334,0.5166666666666666,0.20654329147389294,1.0,phase,049
109.55469796721803 + 42.83452000898848 + 49.56057079092648,0,0,,0.5166666666666667,,,,phase,056
109.55469796721803 + 42.83452000898848 + 49.56057079092648,0,0,,0.5666666666666667,,,,phase,075
109.55469796721803 + 42.83452000898848 + 49.56057079092648,0,0,,0.4,,,,phase,077
261.4296979672182 + 200.33452000898842 + 139.56057079092653,1,0,0.0,0.48333333333333334,-0.48333333333333334,0.0,0.7934567085261071,phase,049
261.4296979672182 + 200.33452000898842 + 139.56057079092653,0,0,,0.5166666666666667,,,,phase,056
261.4296979672182 + 200.33452000898842 + 139.56057079092653,0,0,,0.5666666666666667,,,,phase,075
261.4296979672182 + 200.33452000898842 + 139.56057079092653,0,0,,0.4,,,,phase,077
53.30469796721809 + 357.83452000898853 + 229.56057079092648,1,0,0.0,0.48333333333333334,-0.48333333333333334,0.0,0.7934567085261071,phase,049
53.30469796721809 + 357.83452000898853 + 229.56057079092648,0,0,,0.5166666666666667,,,,phase,056
53.30469796721809 + 357.83452000898853 + 229.56057079092648,0,0,,0.5666666666666667,,,,phase,075
53.30469796721809 + 357.83452000898853 + 229.56057079092648,0,0,,0.4,,,,phase,077
205.1796979672181 + 155.33452000898853 + 319.5605707909265,1,0,0.0,0.48333333333333334,-0.48333333333333334,0.0,0.7934567085261071,phase,049
205.1796979672181 + 155.33452000898853 + 319.5605707909265,0,0,,0.5166666666666667,,,,phase,056
205.1796979672181 + 155.33452000898853 + 319.5605707909265,0,0,,0.5666666666666667,,,,phase,075
205.1796979672181 + 155.33452000898853 + 319.5605707909265,0,0,,0.4,,,,phase,077
357.0546979672181 + 312.83452000898865 + 49.56057079092648,1,1,1.0,0.48333333333333334,0.5166666666666666,0.20654329147389294,1.0,phase,049
357.0546979672181 + 312.83452000898865 + 49.56057079092648,0,0,,0.5166666666666667,,,,phase,056
357.0546979672181 + 312.83452000898865 + 49.56057079092648,0,0,,0.5666666666666667,,,,phase,075
357.0546979672181 + 312.83452000898865 + 49.56057079092648,0,0,,0.4,,,,phase,077
148.9296979672181 + 110.33452000898842 + 139.56057079092648,1,0,0.0,0.48333333333333334,-0.48333333333333334,0.0,0.7934567085261071,phase,049
148.9296979672181 + 110.33452000898842 + 139.56057079092648,0,0,,0.5166666666666667,,,,phase,056
148.9296979672181 + 110.33452000898842 + 139.56057079092648,0,0,,0.5666666666666667,,,,phase,075
148.9296979672181 + 110.33452000898842 + 139.56057079092648,0,0,,0.4,,,,phase,077
300.8046979672181 + 267.8345200089884 + 229.56057079092648,1,1,1.0,0.48333333333333334,0.5166666666666666,0.20654329147389294,1.0,phase,049
300.8046979672181 + 267.8345200089884 + 229.56057079092648,0,0,,0.5166666666666667,,,,phase,056
300.8046979672181 + 267.8345200089884 + 229.56057079092648,0,0,,0.5666666666666667,,,,phase,075
300.8046979672181 + 267.8345200089884 + 229.56057079092648,0,0,,0.4,,,,phase,077
92.67969796721809 + 65.33452000898842 + 319.5605707909265,1,1,1.0,0.48333333333333334,0.5166666666666666,0.20654329147389294,1.0,phase,049
92.67969796721809 + 65.33452000898842 + 319.5605707909265,0,0,,0.5166666666666667,,,,phase,056
92.67969796721809 + 65.33452000898842 + 319.5605707909265,0,0,,0.5666666666666667,,,,phase,075
92.67969796721809 + 65.33452000898842 + 319.5605707909265,0,0,,0.4,,,,phase,077
244.5546979672181 + 222.83452000898842 + 49.56057079092648,1,1,1.0,0.48333333333333334,0.5166666666666666,0.20654329147389294,1.0,phase,049
244.5546979672181 + 222.83452000898842 + 49.56057079092648,0,0,,0.5166666666666667,,,,phase,056
244.5546979672181 + 222.83452000898842 + 49.56057079092648,0,0,,0.5666666666666667,,,,phase,075
244.5546979672181 + 222.83452000898842 + 49.56057079092648,0,0,,0.4,,,,phase,077
36.42969796721809 + 20.33452000898842 + 139.56057079092648,1,1,1.0,0.48333333333333334,0.5166666666666666,0.20654329147389294,1.0,phase,049
36.42969796721809 + 20.33452000898842 + 139.56057079092648,0,0,,0.5166666666666667,,,,phase,056
36.42969796721809 + 20.33452000898842 + 139.56057079092648,0,0,,0.5666666666666667,,,,phase,075
36.42969796721809 + 20.33452000898842 + 139.56057079092648,0,0,,0.4,,,,phase,077
188.3046979672181 + 177.8345200089882 + 229.56057079092648,1,0,0.0,0.48333333333333334,-0.48333333333333334,0.0,0.7934567085261071,phase,049
188.3046979672181 + 177.8345200089882 + 229.56057079092648,0,0,,0.5166666666666667,,,,phase,056
188.3046979672181 + 177.8345200089882 + 229.56057079092648,0,0,,0.5666666666666667,,,,phase,075
188.3046979672181 + 177.8345200089882 + 229.56057079092648,0,0,,0.4,,,,phase,077
340.1796979672181 + 335.3345200089884 + 319.5605707909265,1,0,0.0,0.48333333333333334,-0.48333333333333334,0.0,0.7934567085261071,phase,049
340.1796979672181 + 335.3345200089884 + 319.5605707909265,0,0,,0.5166666666666667,,,,phase,056
340.1796979672181 + 335.3345200089884 + 319.5605707909265,0,0,,0.5666666666666667,,,,phase,075
340.1796979672181 + 335.3345200089884 + 319.5605707909265,0,0,,0.4,,,,phase,077
132.05469796721854 + 132.83452000898887 + 49.560570790926704,1,0,0.0,0.48333333333333334,-0.48333333333333334,0.0,0.7934567085261071,phase,049
132.05469796721854 + 132.83452000898887 + 49.560570790926704,0,0,,0.5166666666666667,,,,phase,056
132.05469796721854 + 132.83452000898887 + 49.560570790926704,0,0,,0.5666666666666667,,,,phase,075
132.05469796721854 + 132.83452000898887 + 49.560570790926704,0,0,,0.4,,,,phase,077
283.9296979672181 + 290.3345200089884 + 139.56057079092648,1,1,1.0,0.48333333333333334,0.5166666666666666,0.20654329147389294,1.0,phase,049
283.9296979672181 + 290.3345200089884 + 139.56057079092648,0,0,,0.5166666666666667,,,,phase,056
283.9296979672181 + 290.3345200089884 + 139.56057079092648,0,0,,0.5666666666666667,,,,phase,075
283.9296979672181 + 290.3345200089884 + 139.56057079092648,0,0,,0.4,,,,phase,077
75.80469796721763 + 87.83452000898842 + 229.56057079092648,1,1,1.0,0.48333333333333334,0.5166666666666666,0.20654329147389294,1.0,phase,049
75.80469796721763 + 87.83452000898842 + 229.56057079092648,0,0,,0.5166666666666667,,,,phase,056
75.80469796721763 + 87.83452000898842 + 229.56057079092648,0,0,,0.5666666666666667,,,,phase,075
75.80469796721763 + 87.83452000898842 + 229.56057079092648,0,0,,0.4,,,,phase,077
227.6796979672181 + 245.33452000898887 + 319.5605707909265,1,0,0.0,0.48333333333333334,-0.48333333333333334,0.0,0.7934567085261071,phase,049
227.6796979672181 + 245.33452000898887 + 319.5605707909265,0,0,,0.5166666666666667,,,,phase,056
227.6796979672181 + 245.33452000898887 + 319.5605707909265,0,0,,0.5666666666666667,,,,phase,075
227.6796979672181 + 245.33452000898887 + 319.5605707909265,0,0,,0.4,,,,phase,077
19.55469796721809 + 42.83452000898842 + 49.560570790926704,1,1,1.0,0.48333333333333334,0.5166666666666666,0.20654329147389294,1.0,phase,049
19.55469796721809 + 42.83452000898842 + 49.560570790926704,0,0,,0.5166666666666667,,,,phase,056
19.55469796721809 + 42.83452000898842 + 49.560570790926704,0,0,,0.5666666666666667,,,,phase,075
19.55469796721809 + 42.83452000898842 + 49.560570790926704,0,0,,0.4,,,,phase,077
171.42969796721854 + 200.33452000898842 + 139.5605707909267,1,0,0.0,0.48333333333333334,-0.48333333333333334,0.0,0.7934567085261071,phase,049
171.42969796721854 + 200.33452000898842 + 139.5605707909267,0,0,,0.5166666666666667,,,,phase,056
171.42969796721854 + 200.33452000898842 + 139.5605707909267,0,0,,0.5666666666666667,,,,phase,075
171.42969796721854 + 200.33452000898842 + 139.5605707909267,0,0,,0.4,,,,phase,077
323.3046979672181 + 357.8345200089889 + 229.56057079092648,1,0,0.0,0.48333333333333334,-0.48333333333333334,0.0,0.7934567085261071,phase,049
323.3046979672181 + 357.8345200089889 + 229.56057079092648,0,0,,0.5166666666666667,,,,phase,056
