machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,7,15,22,2.1429,14483,-3556,10172
0040,g4,7,11,18,1.5714,10345,-2133,7414
0041,g5,2,1,3,0.5,0,-10311,-10311
0042,g6,2,2,4,1.0,0,-4089,-4089
0043,g7,5,17,22,3.4,17931,0,14828
0044,g8,3,19,22,6.3333,21570,-1532,15372
0045,g9,7,12,19,1.7143,12241,-1600,4138
0046,g1,3,8,11,2.6667,11207,-2133,4828
0047,g2,5,7,12,1.4,1466,-5689,-2400
0048,g3,4,7,11,1.75,0,-8533,-4711
0049,g4,1,1,2,1.0,0,-21447,-19660
0050,g5,5,3,8,0.6,2500,-5867,-5867
0051,g6,5,13,18,2.6,11034,-2667,-889
0052,g7,3,1,4,0.3333,1897,-11556,-11556
0053,g8,3,3,6,1.0,3276,-17244,-14044
0054,g9,8,30,38,3.75,39231,-260,39231
0055,g1,6,13,19,2.1667,12586,-711,11379
0056,g2,5,6,11,1.2,2414,-8267,-3822
0057,g3,5,8,13,1.6,1379,-11022,-4089
0058,g4,3,21,24,7.0,11074,-12596,11074
0059,g5,7,14,21,2.0,11207,-3022,4310
0060,g6,2,8,10,4.0,0,-9867,-1244
0061,g7,3,12,15,4.0,8276,-5867,4569
0062,g8,5,9,14,1.8,14828,-1956,-1956
0063,g9,6,5,11,0.8333,0,-8089,-6311
0064,g1,7,21,28,3.0,24298,-6638,23802
0065,g2,0,0,0,,0,-9689,-9689
0066,g3,5,14,19,2.8,10517,-1600,10000
0067,g4,4,20,24,5.0,13448,0,13103
0068,g5,1,5,6,5.0,4310,-17956,-17956
0069,g6,4,7,11,1.75,1724,-6756,-2400
0070,g7,2,1,3,0.5,3793,-8000,-8000
0071,g8,5,8,13,1.6,0,-12800,-11022
0072,g9,3,10,13,3.3333,12069,-533,8103
0073,g1,2,13,15,6.5,9741,-7022,6897
0074,g2,6,12,18,2.0,10172,-3378,9828
0075,g3,3,13,16,4.3333,12241,-5867,7586
0076,g4,5,6,11,1.2,0,-12978,-6933
0077,g5,3,9,12,3.0,4310,-5422,4052
